@@,item,itemlabel,position,positionlabel,start,end
+++,,Abd Al Basit Abd Al Magid,,Min. Of Tourism & Culture,2001,2002
+++,,Abd Al Gadir Mohammed Zein,,State Min. Of Youth & Sports,2001,2002
+++,,Abd Al Hameed Musa Kasha,,Min. Of External Trade,2001,2005
+++,,Abd Al Jabbar Hussein,,State Min. Of Agriculture,2001,2002
+++,,Abd Al Rahim Hamdi,,Min. Of Finance & National Economy,2001,2001
---,Q112325535,Abd al-Basit Sabdirat,Q112325284,Federal Government,2005-09-21,2007-12-26
---,Q112325535,Abd al-Basit Sabdirat,Q112325297,Justice,2008-02-13,2010-06-16
---,Q112325535,Abd al-Basit Sabdirat,Q112325307,Relations with the Parliament,2001-02-23,2005-09-21
---,Q112325536,Abd al-Hamid Musa Kasha,Q112325283,External Trade,2001-02-23,2005-09-21
---,Q112325538,Abd-al-Rahman Sa’id Abd-al Rahman,Q111192637,Science and Technology,2007-12-26,2008-02-13
+++,,Abdal Halim Al Mutaafi,,Min. Of Industry,2000,2002
---,Q112325539,Abdalla Ali Masar,Q112325291,Information,2011-12-27,2012-04-30
---,Q27654948,Abdalla Hamdok,Q30100623,Prime Minister of Sudan,2019-08-21,2021-10-25
+++,,Abdalla Hassan Ahmad,,"Governor, Bank Of Sudan",2000,2000
+++,,Abdalla Sid Ahmad,,State Min. Of Health,2001,2002
---,Q112325540,Abdalla Suleiman Abdala,Q112325266,Agriculture,2018-05-14,2018-09-09
+++,,Abdalla Teya Guma,,Min. Of Health,2010,2011
---,Q112325541,Abdalla Tiya Guma’a,Q112325286,Health,2010-06-16,2011-12-27
---,Q27654948,Abdallah Hamdok,Q105926147,Finance and Economic Planning,2018-09-09,2018-09-15
---,Q112325542,Abdallah Hassan Ahmed,Q112325293,International Cooperation and Investment,1998-03-09,2000-01-24
---,Q112325543,Abdallah Mohammed Sid Ahmed,Q112325268,Animal Health,2000-01-24,2001-02-23
+++,,Abdalmahmood Abdalhaleem Mohamad,,"Permanent Representative To The Un, New York",2007,2010
---,Q112325544,Abdalrahman Said,Q112325284,Federal Government,2007-12-26,2010-06-16
+++,,Abdalrahman Said,,Min. Of Federal Govt.,2008,2012
+++,,Abdalrahman Said,,Min. Of Science & Technology,2006,2007
+++,,Abdeen Mohammed Sharif,,Min. Of Human Resources,2012,2012
+++,,Abdel Bagi Al Gailani,,Min. Of Minerals,2010,2011
+++,,Abdel Basit Saleh Sabdarat,,Min. Of Federal Government,2006,2006
+++,,Abdel Basit Saleh Sabdarat,,Min. Of Federal Govt.,2007,2007
+++,,Abdel Basit Saleh Sabdarat,,Min. Of Information & Communication,2005,2005
+++,,Abdel Basit Saleh Sabdarat,,Min. Of Justice & Prosecutor Gen.,2008,2009
+++,,Abdel Basit Saleh Sabdarat,,Min. Of Parliamentary Relations,2001,2005
+++,,Abdel Basit Saleh Sabdarat,,Political Adviser To The President,2000,2000
+++,,Abdel Basset Abdel Majid,,Min. Of Culture,2003,2005
+++,,Abdel Basset Abdel Majid,,Min. Of Tourism & National Heritage,2005,2005
+++,,Abdel Haleem Ismail Al Mutaafi,Q112325266,Min. Of Agriculture,2010,2012
+++,,Abdel Haleem Ismail Al Mutaafi,Q112325266,Min. Of Agriculture & Irrigation,2013,2013
+++,,Abdel Jaleel Al Basha,,Min. Of Tourism & National Heritage,2003,2004
---,Q307796,Abdel Rahmi Mohamed Hussein,Q85851442,Defence,2005-09-21,2015-06-07
---,Q307796,Abdel Rahmi Mohamed Hussein,Q112325292,Interior,2001-02-23,2005-09-21
---,Q307796,Abdel Rahmi Mohamed Hussein,Q112325292,Interior,1998-03-09,2000-07-10
---,Q307796,Abdel Rahmi Mohamed Hussein,Q112325306,Presidential Affairs,2000-07-10,2001-02-23
+++,,Abdel Wahab Mohammed Osman,,Min. Of Industry,2012,2013
+++,,Abdel Wahab Mohammed Osman,,Min. Of Roads & Bridges,2010,2011
---,Q112325546,Abdel Wahab Osmane,Q105926147,Finance and National Economy,1996-04-21,2000-01-24
---,Q112325547,Abdel Wahid Yousif Ibrahim,Q112325292,Interior,2013-12-08,2014-06-25
---,Q112325547,Abdel Wahid Yousif Ibrahim,Q112325309,Roads and Bridges,2014-06-25,2015-06-07
+++,,Abdel Wahid Youssef Ibrahim,,Min. Of Interior,2014,2014
+++,,Abdelrahman Hassan Abdelrahman Hashim,,"Governor, Central Bank Of Sudan",2015,2016
+++,,Abdelrahman Sir Al Khatim,,Min. Of Defense,2000,2000
---,Q112325549,Abdin Muhammad Sharif,Q112325288,Human Resources,2011-12-27,2012-07-09
---,Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture,2002-08-19,2005-09-21
---,Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture and Tourism,2001-02-23,2002-08-19
---,Q112325550,Abdul Basit Abdulmajid,Q112325302,National Education,2000-01-24,2001-02-23
---,Q112325551,Abdul Rahim Mahmud Hamdi,Q105926147,Finance,2001-02-23,2002-05-07
+++,,Abdul Rahim Mohammed Hussein,,Min. Of Defense,2006,2014
+++,,Abdul Rahim Mohammed Hussein,,Min. Of Interior,2000,2005
---,Q112325552,Abdul-Bagi Al-Gailani,Q112325300,Minerals,2010-06-16,2011-12-27
---,Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325266,Agriculture,2010-06-16,2011-12-27
---,Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325266,Agriculture and Irrigation,2011-12-27,2013-12-08
---,Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325290,Industry,2000-01-24,2001-02-23
---,Q112325554,Abdul-Karim Musa,Q112325322,Youth and Sports,2017-05-12,2018-05-14
---,Q112325555,Abdul-Latif Ahmed Mohamed Ujaimi,Q112325266,Agriculture,2017-05-12,2018-05-14
---,Q112325557,Abdul-Rahman Osman Abdul-Rahman,Q112325303,Petroleum and Gas,2017-05-12,2018-05-14
---,Q112325558,Abdul-Wahab Mohamed Osman,Q112325290,Industry,2011-12-27,2013-12-08
---,Q112325558,Abdul-Wahab Mohamed Osman,Q112325309,Roads and Bridges,2010-06-16,2011-12-27
---,Q112325559,Abdulrahman Sir el Khatim,Q85851442,Defence,1999-03-06,2000-07-10
---,Q112325559,Abdulrahman Sir el Khatim,Q112325274,Minister of Cabinet Affairs,2000-07-10,2001-02-23
+++,,Abu Al Qasim Mohammed Ibrahim,,Min. Of Health,2000,2000
---,Q112325560,Abu-Bakr Ahmed Abdul-Rahim,Q112325297,Justice,2017-05-12,2018-05-14
---,Q112325561,Abu-Bakr Osman Ibrahim,Q112325308,Religious Affairs,2017-05-12,2018-09-09
---,Q112325562,Abu-al-Bashir Abd-al-Rahman Yusuf,Q112325322,Youth and Sports,2018-05-14,2018-09-09
---,Q112325563,Abul Gasim Mohamed Ibrahim,Q112325286,Health,2000-01-24,2001-02-23
---,Q112325563,Abul Gasim Mohamed Ibrahim,Q112325307,Relations with the Parliament,1996-04-21,2000-01-24
+++,,Adam Balouh,,State Min. Of International Cooperation,2001,2002
---,Q112325564,Adam Tahir Hamdoun,Q112325283,External Trade,1999-03-06,2000-01-24
---,Q112674343,Adel Ibrahim,Q112325281,Minister of Energy and Mining,2019-09-08,2020-07-09
---,Q112325565,Agnes Loukoudo,Q112325299,Manpower,1998-03-09,2000-01-24
+++,,Ahmad Ali Alimam,,Presidential Adviser For Religious Affairs,2001,2005
+++,,Ahmad Ali Alimam,,Religious Adviser To The President,2000,2000
---,Q112325566,Ahmad Babiker Nahar,Q112325271,"Antiquities, Tourism and Wildlife",2010-06-16,2011-12-27
---,Q112325566,Ahmad Babiker Nahar,Q112325282,Environment,2007-12-26,2010-06-16
---,Q112325566,Ahmad Babiker Nahar,Q112325282,Environment and Construction Development,2005-09-21,2007-12-26
---,Q112325566,Ahmad Babiker Nahar,Q112325298,Labour and Administrative Reform,2015-06-07,2018-09-09
---,Q112325566,Ahmad Babiker Nahar,Q112325302,National Education and Guidance,2002-08-19,2005-09-21
---,Q112325566,Ahmad Babiker Nahar,Q112325317,Transport,2014-06-25,2015-06-07
---,Q112325566,Ahmad Babiker Nahar,Q112325317,"Transport, Roads, and Bridges",2011-12-27,2014-06-25
+++,,Ahmad Babikir Nahar,,"Min. Of Antiquities, Tourism & Wildlife",2010,2011
+++,,Ahmad Babikir Nahar,,Min. Of Education,2003,2005
+++,,Ahmad Babikir Nahar,,Min. Of Environment & Urban Development,2006,2009
+++,,Ahmad Babikir Nahar,,Min. Of Labor,2015,2016
+++,,Ahmad Babikir Nahar,,"Min. Of Transportation, Roads & Bridges",2012,2014
+++,,Ahmad Ballal,,Min. Of Health,2001,2005
+++,,Ahmad Bilal Osman,,Min. Of Culture & Information,2013,2013
+++,,Ahmad Bilal Osman,,Min. Of Information,2015,2016
+++,,Ahmad Hassan Al Zubeir,,Min. Of Finance & Planning,2002,2005
+++,,Ahmad Ibrahim Attahir,,Min. Of Federal Relations,2000,2000
+++,,Ahmad Mohammed Al Aas,,State Min. Of Internal Affairs,2001,2002
+++,,Ahmad Mohammed Mohammed Al Karouri,,Min. Of Minerals,2014,2014
+++,,Ahmad Saad Omar Khidir,,Min. Of Cabinet Affairs,2012,2013
+++,,Ahmad Saad Omar Khidir,,Min. Of Council Of Ministers,2014,2016
---,Q22949078,Ahmed Awad Ibn Auf,Q7925069,Vice President of Sudan,2019-02-23,2019-04-11
---,Q4695771,Ahmed Bilal Osman,Q112325276,Culture and Information,2012-07-09,2013-12-08
---,Q4695771,Ahmed Bilal Osman,Q112325286,Health,2001-02-23,2005-09-21
---,Q4695771,Ahmed Bilal Osman,Q112325291,Information,2013-12-08,2018-09-09
---,Q4695771,Ahmed Bilal Osman,Q112325291,Information,2012-04-30,2012-07-09
---,Q4695771,Ahmed Bilal Osman,Q112325292,Interior,2018-09-09,2019-03-13
---,Q400652,Ahmed Haroun,Q112325292,Minister of Interior,2003-04-01,2005-09-01
---,Q112325567,Ahmed Ibrahim Taher,Q112325284,Federal Government,1998-03-09,2000-07-10
---,Q112325568,Ahmed Mohammed Saddiq al-Karrouri,Q112325301,Mining,2013-12-08,2017-05-12
---,Q112325569,Ahmed Saad Omar Khidir,Q112325274,Minister of Cabinet Affairs,2011-12-27,2018-05-14
---,Q112325569,Ahmed Saad Omar Khidir,Q112325274,Minister of Cabinet Affairs,2018-09-09,2019-04-11
+++,,Akec Khoc Aciew Khoc,,"Charge D'affaires, Embassy, Washington",2009,2010
---,Q112674349,Akram Ali Altom,Q112325286,Minister of Health of Sudan,2019-09-08,2020-07-09
---,Q100258784,Al -Cherif Ahmed Omar Badr,Q112325294,Investment,2002-11-30,2005-09-21
+++,,Al Fatih Taj Al Sir Abdullah,,Min. Of Guidance & Endowments,2015,2015
+++,,Al Fatih Taj Al Sir Abdullah,,Min. Of Guidance & Religious Endowments,2014,2014
+++,,Al Fatih Taj Al Sir Abdullah,,Min. Of Youth & Sports,2012,2013
+++,,Al Hadi Abdallah Mohammed Al Awad,,Min. At The Cabinet,2005,2005
+++,,Al Haj Adam Yousif,,Second Vice President,2012,2013
+++,,Al Sadiq Al Hadi Abdel Rahman Al Mahadi,,Min. Of Human Resources Development,2015,2016
+++,,Al Samawal Khalaf Allah Al Quraish,,Min. Of Culture,2010,2012
+++,,Al Samih Al Sadiq Al Noor,,Min. Of Industry,2014,2014
---,Q112325571,Al Sammani al-Cheikh al-Waseilah,Q112325317,Transport,2002-11-30,2005-09-21
+++,,Al Sherif Ahmad Omar Badr,,Min. Of Investment,2003,2005
+++,,Al Tayeb Ibrahim Mohammed Khair,,Min. Of Presidential Affairs,2005,2005
+++,,Al Tayeb Ibrahim Mohammed Khair,,Security Adviser To The President,2000,2000
+++,,Al Tayeb Mustafa,,State Min. Of Information,2001,2002
+++,,Al Tayyib Hassan Badawi,,Min. Of Culture & Information,2014,2016
+++,,Al Tigani Adam Al Tahir,,Min. Of Environment & Urban Planning,2001,2005
+++,,Al Tigani Adam Al Tahir,,Min. Of Tourism & Environment,2000,2000
+++,,Al Tigani Al Fadil,,State Min. Of External Relations,2001,2002
+++,,Al Tijani Saleh Hudeib,,Min. Of International Cooperation,2006,2006
+++,,Al Tijani Saleh Hudeib,,Min. Of Intl. Cooperation,2007,2009
+++,,Al Zubayr Ahmad Al Hasan,,Min. Of Energy & Mining,2008,2009
+++,,Al Zubayr Ahmad Al Hasan,,Min. Of Finance & National Economy,2006,2007
+++,,Al Zubayr Ahmad Al Hasan,,State Min. Of Finance,2001,2002
---,Q112325572,Al-Fatih Ali Sidiq,Q112325293,International Cooperation,2015-06-07,2017-05-12
---,Q112325573,Al-Hadi Bouchra,Q112325309,Roads and Telecommunications,1996-04-21,2000-01-24
---,Q112325574,Al-Hadi Muhammad Awad,Q112325274,Minister of Cabinet Affairs,2001-02-23,2005-09-21
---,Q19605286,Al-Haj Adam Yousif,Q112325266,Agriculture,2000-01-24,2000-07-10
---,Q19605286,Al-Haj Adam Yousif,Q7925069,Vice-President,2011-09-13,2013-12-07
---,Q112325576,Al-Khair al-Nour al-Mubrak,Q112325279,Education,2019-03-13,2019-04-11
---,Q112325577,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Q111192544,Higher Education and Scientific Research,2018-09-09,2019-03-13
---,Q112325577,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Q112325288,Human Resources,2015-06-07,2018-09-09
---,Q112325578,Al-Samawa’al Khalafalla Al-Quraish,Q112325276,Culture,2010-06-16,2012-07-09
---,Q112325579,Al-Samual Khalfalla,Q112325276,"Culture, Tourism, and Antiquities",2019-03-13,2019-04-11
---,Q112325580,Al-Tayyib Hassan Badawi,Q112325276,Culture,2015-06-07,2018-09-09
---,Q112325580,Al-Tayyib Hassan Badawi,Q112325276,Culture,2013-12-08,2015-06-07
---,Q112325581,Al-Tijani Salih Fudayl,Q112325293,International Cooperation,2005-09-21,2010-06-16
---,Q112325582,Al-Zahawi Ibrahim Malik,Q112325275,Communications and Information,2007-12-26,2010-06-16
---,Q112674361,Alam al-Din Abdallah Abashar,Q112674296,Minister of Livestock and Fisheries,2019-10-15,2020-07-09
---,Q50379451,Albino Akol Akol,Q109984815,Foreign Affairs,2005-09-21,2007-12-26
---,Q50379451,Albino Akol Akol,Q112325317,Transport,1996-04-21,2002-08-19
+++,,Ali Ahmad Karti,,State Min. Of Justice,2001,2002
+++,,Ali Ahmad Osman,,State Min. Of Industry,2001,2002
---,Q12228166,Ali Ahmed Karti,Q109984815,Foreign Affairs,2010-06-16,2015-06-07
+++,,Ali Al Haj Mohammed,,Assistant President Chmn. Bureau Of Federal Rule,2005,2005
+++,,Ali Al Haj Mohammed,,Chmn. Bureau Of Federal Rule,2000,2004
+++,,Ali Hassan Taj Eddin,,Presidential Adviser For African Affairs,2003,2005
+++,,Ali Mahmoud Abdel Rasoul,,Min. Of Finance & National Economy,2010,2013
---,Q112325583,Ali Mahmoud Abdul-Rasool,Q105926147,Finance and National Economy,2010-06-16,2013-12-08
---,Q112325585,Ali Mohamed Osmane Yassine,Q112325297,Justice,1998-03-09,2005-09-21
+++,,Ali Mohammed Osman Yassin,,Attorney General,2000,2016
+++,,Ali Mohammed Osman Yassin,,Min. Of Justice,2000,2002
+++,,Ali Mohammed Osman Yassin,,Min. Of Justice & Prosecutor General,2003,2005
---,Q937264,Ali Osman Mohamed Taha,Q7925069,Vice-President,1998-02-01,2005-01-09
---,Q937264,Ali Osman Mohamed Taha,Q7925069,Vice-President,2011-09-13,2013-12-06
---,Q937264,Ali Osman Mohamed Taha,Q7925069,Vice-President,2005-07-09,2011-09-13
+++,,Ali Osman Mohammed Taha,,First Vice President,2012,2013
+++,,Ali Osman Mohammed Taha,,First Vice President,2000,2005
+++,,Ali Osman Mohammed Taha,Q7925069,Vice President,2006,2011
---,Q112325587,Ali Tamim Fartak,Q112325280,Electricity,2002-08-19,2005-09-21
---,Q112325587,Ali Tamim Fartak,Q112325302,National Education,2001-02-23,2002-08-19
+++,,Ali Temim Fartak,,Min. Of Education,2001,2002
+++,,Ali Temim Fartak,,Min. Of Electricity,2003,2005
---,Q112325588,Alison Manani Magaya,Q112325288,Human Resources and Labour,2005-09-21,2007-12-26
---,Q112325588,Alison Manani Magaya,Q112325298,Labour,2000-01-24,2001-02-23
---,Q112325588,Alison Manani Magaya,Q112325298,"Labour, Public Service, and Development of Human Resources",2007-12-26,2010-06-16
+++,,Alison Manani Magaya,,Min. Of Labor,2001,2005
+++,,Alison Manani Magaya,,Min. Of Labor & Human Resources,2006,2009
+++,,Alison Manani Magaya,,Min. Of Manpower,2000,2005
---,Q112325588,Alison Manani Magaya,Q112325321,Works and Administrative Reform,2001-02-23,2005-09-21
---,Q112325589,Altayeb Ibrahim Mohammed Khair,Q112325310,Social Planning,1998-03-09,2000-01-24
+++,,Amira Al Fadil Mohammed Ahmad,,Min. Of Welfare & Social Insurance,2010,2013
---,Q112325590,Amira Al-Fadil Mohamed Al-Fadil,Q112325320,Welfare and Social Security,2010-06-16,2013-12-08
+++,,Ammar Mirghani Hussayn,,Min. Of Guidance & Endowments,2016,2016
---,Q112325591,Asia Mohamed Abdalla,Q112325279,Education,2017-05-12,2018-09-09
---,Q67201470,Asma Mohamed Abdalla,Q109984815,Minister of Foreign Affairs,2019-09-08,2020-07-09
+++,,Awad Ahmad Al Jaz,,Min. Of Energy & Mining,2000,2007
+++,,Awad Ahmad Al Jaz,,Min. Of Finance & National Economy,2008,2009
+++,,Awad Ahmad Al Jaz,,Min. Of Industry,2010,2011
+++,,Awad Ahmad Al Jaz,,Min. Of Petroleum,2012,2013
---,Q112325592,Awad Ahmad al-Jaz,Q112325281,Energy and Mining,1995-08-12,2008-02-13
---,Q112325592,Awad Ahmad al-Jaz,Q105926147,Finance,2008-02-13,2010-06-16
---,Q112325592,Awad Ahmad al-Jaz,Q112325290,Industry,2010-06-16,2011-12-27
---,Q112325592,Awad Ahmad al-Jaz,Q112325303,Petroleum,2011-12-27,2013-12-08
+++,,Awad Al Hassan Al Nour,,Min. Of Justice & Prosecutor Gen.,2015,2016
+++,,Awad Al Karim Ahmad Mohammed Ibn Auf,,Min. Of Defense,2016,2016
---,Q112325594,Awad al-Hassan al-Nur,Q112325297,Justice,2015-06-07,2017-05-12
---,Q112325595,Azhari Abd-al-Qadir Abdalla,Q112325303,"Petroleum, Gas, and Minerals",2018-05-14,2019-03-13
+++,,Azhari Al Tigani Awad Al Sid,,Min. Of Guidance & Religious Endowments,2010,2011
+++,,Azhari Al Tigani Awad Al Sid,,Min. Of Religious Affairs & Waqf,2006,2011
---,Q112325596,Azhari Al-Tigani Awad al-Sid,Q112325308,Religious Affairs,2005-09-21,2011-12-27
---,Q112325597,Badereldien Mahmoud,Q105926147,Finance,2013-12-08,2017-05-12
+++,,Badr Al Din Mahmoud Hamid Abbas,,Min. Of Finance & Economic Planning,2015,2016
+++,,Badr Al Din Mahmoud Hamid Abbas,,Min. Of Finance & National Economy,2014,2014
