item,itemLabel,position,positionLabel,start,end,psid
Q100258784,Al -Cherif Ahmed Omar Badr,Q112325294,Investment,2002-11-30,2005-09-21,Q100258784-A9EE049C-27C0-4E33-9B56-C24E0A9340D7
Q106661767,Zubair Ahmed al-Hassan,Q112325281,Energy and Mining,2008-02-13,2010-06-16,Q106661767-156F9900-38EA-4722-B005-EB3FF2A3D911
Q106661767,Zubair Ahmed al-Hassan,Q105926147,Finance,2002-05-07,2008-02-13,Q106661767-3ECE3620-C1F8-41A3-9686-00434CDB97FC
Q111184176,Ibrahim Mohamed Omar,Q111192637,Science and Technology,2008-02-13,2010-06-16,Q111184176-64d893d8-4abf-ee7f-cc45-ee29efe346b6
Q112325535,Abd al-Basit Sabdirat,Q112325297,Justice,2008-02-13,2010-06-16,Q112325535-761D478B-F71A-43DF-AC5C-FCA45FA42D1B
Q112325535,Abd al-Basit Sabdirat,Q112325284,Federal Government,2005-09-21,2007-12-26,Q112325535-BD410D61-3BCF-472E-AEB9-3AA3840134D1
Q112325535,Abd al-Basit Sabdirat,Q112325307,Relations with the Parliament,2001-02-23,2005-09-21,Q112325535-BE233B95-9B1E-426E-9614-39390F106B8A
Q112325536,Abd al-Hamid Musa Kasha,Q112325283,External Trade,2001-02-23,2005-09-21,Q112325536-162FDB14-2F9C-495F-B35A-70D279E149AF
Q112325538,Abd-al-Rahman Sa’id Abd-al Rahman,Q111192637,Science and Technology,2007-12-26,2008-02-13,Q112325538-CC76F097-FE9D-4915-8F81-9E2EA17F7479
Q112325539,Abdalla Ali Masar,Q112325291,Information,2011-12-27,2012-04-30,Q112325539-476AABE0-CA2D-4AE4-A59D-1AD2C2B5ACE5
Q112325540,Abdalla Suleiman Abdala,Q112325266,Agriculture,2018-05-14,2018-09-09,Q112325540-6AC4EFCF-3B8E-4B36-B365-2A53ED3CA024
Q112325541,Abdalla Tiya Guma’a,Q112325286,Health,2010-06-16,2011-12-27,Q112325541-D4344C50-4562-4828-ACBD-CEDF56B48FBB
Q112325542,Abdallah Hassan Ahmed,Q112325293,International Cooperation and Investment,1998-03-09,2000-01-24,Q112325542-929146D7-FC30-4C72-A213-CE7E064F5C56
Q112325543,Abdallah Mohammed Sid Ahmed,Q112325268,Animal Health,2000-01-24,2001-02-23,Q112325543-CB7DBB34-803A-4EBA-AD98-E1BDEDCD9A5F
Q112325544,Abdalrahman Said,Q112325284,Federal Government,2007-12-26,2010-06-16,Q112325544-B2486E71-89B1-4572-80C8-68FB0CFFCD9A
Q112325546,Abdel Wahab Osmane,Q105926147,Finance and National Economy,1996-04-21,2000-01-24,Q112325546-D3AB1428-2AFE-45E8-8CF0-C05C9116A357
Q112325547,Abdel Wahid Yousif Ibrahim,Q112325292,Interior,2013-12-08,2014-06-25,Q112325547-75721570-63E4-4C86-96C0-1C47906B2F92
Q112325547,Abdel Wahid Yousif Ibrahim,Q112325309,Roads and Bridges,2014-06-25,2015-06-07,Q112325547-D9ED6F8B-F728-4A11-8ECB-3801F9B57884
Q112325549,Abdin Muhammad Sharif,Q112325288,Human Resources,2011-12-27,2012-07-09,Q112325549-D4FF9236-D7A6-4C7D-BAA8-B7EC669CD494
Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture and Tourism,2001-02-23,2002-08-19,Q112325550-64194BD8-1689-41F9-B810-D1D1702039BD
Q112325550,Abdul Basit Abdulmajid,Q112325276,Culture,2002-08-19,2005-09-21,Q112325550-6FED5EAB-A32C-49EB-9525-25D5B06D31AD
Q112325550,Abdul Basit Abdulmajid,Q112325302,National Education,2000-01-24,2001-02-23,Q112325550-DF27F142-6F1E-42BB-BD5A-EDEA29ADF9B7
Q112325551,Abdul Rahim Mahmud Hamdi,Q105926147,Finance,2001-02-23,2002-05-07,Q112325551-3458187B-65C0-4EAE-8FFA-F4459D68F724
Q112325552,Abdul-Bagi Al-Gailani,Q112325300,Minerals,2010-06-16,2011-12-27,Q112325552-EA3184DA-6B0E-4297-AEC3-11D6AF34D6E6
Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325266,Agriculture and Irrigation,2011-12-27,2013-12-08,Q112325553-1A23CD1B-1B89-44A3-BB80-AA42FB93B6D6
Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325266,Agriculture,2010-06-16,2011-12-27,Q112325553-6F20E4F5-FDE6-4B90-B766-6F2D204CE320
Q112325553,Abdul-Halim Ismail al-Muaafi,Q112325290,Industry,2000-01-24,2001-02-23,Q112325553-7605124A-4135-42B0-94FB-CB8AFE60DAC1
Q112325554,Abdul-Karim Musa,Q112325322,Youth and Sports,2017-05-12,2018-05-14,Q112325554-FC729AEA-715E-4454-8562-439BF6EA1073
Q112325555,Abdul-Latif Ahmed Mohamed Ujaimi,Q112325266,Agriculture,2017-05-12,2018-05-14,Q112325555-699A33CE-BDB8-4671-B7DE-71BE39BD90BE
Q112325557,Abdul-Rahman Osman Abdul-Rahman,Q112325303,Petroleum and Gas,2017-05-12,2018-05-14,Q112325557-DBC5BDFC-9F21-4946-B25C-FC6728B85368
Q112325558,Abdul-Wahab Mohamed Osman,Q112325309,Roads and Bridges,2010-06-16,2011-12-27,Q112325558-4F9C6832-9420-4168-859D-DAE4356079E0
Q112325558,Abdul-Wahab Mohamed Osman,Q112325290,Industry,2011-12-27,2013-12-08,Q112325558-7CA5B0FC-DB5A-40F3-8971-303FAA6CC73D
Q112325559,Abdulrahman Sir el Khatim,Q85851442,Defence,1999-03-06,2000-07-10,Q112325559-4D9F0521-679B-468C-8A87-0AFA7677CA96
Q112325559,Abdulrahman Sir el Khatim,Q112325274,Minister of Cabinet Affairs,2000-07-10,2001-02-23,Q112325559-4DD25123-6D45-4F7E-AAA5-B1A9F32A6C86
Q112325560,Abu-Bakr Ahmed Abdul-Rahim,Q112325297,Justice,2017-05-12,2018-05-14,Q112325560-07D33EE8-E179-4BB3-8085-60016B176BA8
Q112325561,Abu-Bakr Osman Ibrahim,Q112325308,Religious Affairs,2017-05-12,2018-09-09,Q112325561-DDF5138B-F23C-44F9-9C85-B3CE8D076C72
Q112325562,Abu-al-Bashir Abd-al-Rahman Yusuf,Q112325322,Youth and Sports,2018-05-14,2018-09-09,Q112325562-CA7BEEA7-DEFD-41D8-9C93-01836D21EF17
Q112325563,Abul Gasim Mohamed Ibrahim,Q112325307,Relations with the Parliament,1996-04-21,2000-01-24,Q112325563-325278C4-D67F-4DB5-991D-B9956E8F6EBB
Q112325563,Abul Gasim Mohamed Ibrahim,Q112325286,Health,2000-01-24,2001-02-23,Q112325563-64CBDEE6-F4CC-455B-A448-818FB69BA77E
Q112325564,Adam Tahir Hamdoun,Q112325283,External Trade,1999-03-06,2000-01-24,Q112325564-A0148C70-2160-48E2-8E1F-09DFFCA0BF51
Q112325565,Agnes Loukoudo,Q112325299,Manpower,1998-03-09,2000-01-24,Q112325565-EBA23E17-25F3-4872-8F14-3DC087DF4ABB
Q112325566,Ahmad Babiker Nahar,Q112325317,Transport,2014-06-25,2015-06-07,Q112325566-14E196F3-33DA-4FD0-AC9B-BB0FC0569967
Q112325566,Ahmad Babiker Nahar,Q112325298,Labour and Administrative Reform,2015-06-07,2018-09-09,Q112325566-18CB2789-5F95-4877-A068-4479B050B4EC
Q112325566,Ahmad Babiker Nahar,Q112325282,Environment,2007-12-26,2010-06-16,Q112325566-28E3DE96-D49B-4999-9BD6-CC9EACA98A90
Q112325566,Ahmad Babiker Nahar,Q112325282,Environment and Construction Development,2005-09-21,2007-12-26,Q112325566-7EB8752E-65E9-4C30-AD6A-17038E3970BD
Q112325566,Ahmad Babiker Nahar,Q112325302,National Education and Guidance,2002-08-19,2005-09-21,Q112325566-AA43A79A-2E80-4F1B-A4CE-71FBAB82A58D
Q112325566,Ahmad Babiker Nahar,Q112325317,"Transport, Roads, and Bridges",2011-12-27,2014-06-25,Q112325566-B5DFFA5E-DD97-48D6-90E1-2420D0746337
Q112325566,Ahmad Babiker Nahar,Q112325271,"Antiquities, Tourism and Wildlife",2010-06-16,2011-12-27,Q112325566-B6707BD9-6EAF-4FA8-8C00-AC2421E63CA3
Q112325567,Ahmed Ibrahim Taher,Q112325284,Federal Government,1998-03-09,2000-07-10,Q112325567-BB70EDC6-1E5C-43A7-84FD-76D66BDDDB53
Q112325568,Ahmed Mohammed Saddiq al-Karrouri,Q112325301,Mining,2013-12-08,2017-05-12,Q112325568-0F0EA44A-7F98-4E3C-A5DE-A0D839E84142
Q112325569,Ahmed Saad Omar Khidir,Q112325274,Minister of Cabinet Affairs,2018-09-09,2019-04-11,Q112325569-30EC6062-5D36-48C6-BDF1-6DAF2ADD1AAA
Q112325569,Ahmed Saad Omar Khidir,Q112325274,Minister of Cabinet Affairs,2011-12-27,2018-05-14,Q112325569-EEED9192-2EDA-41CC-A75D-A14F5AFE17B4
Q112325571,Al Sammani al-Cheikh al-Waseilah,Q112325317,Transport,2002-11-30,2005-09-21,Q112325571-ADA78B07-8FD7-4D7B-8604-0E871DF85818
Q112325572,Al-Fatih Ali Sidiq,Q112325293,International Cooperation,2015-06-07,2017-05-12,Q112325572-62334028-A3E2-4CE4-A609-D839A02A76AF
Q112325573,Al-Hadi Bouchra,Q112325309,Roads and Telecommunications,1996-04-21,2000-01-24,Q112325573-8E31B19D-18A8-4D31-9851-28A277593917
Q112325574,Al-Hadi Muhammad Awad,Q112325274,Minister of Cabinet Affairs,2001-02-23,2005-09-21,Q112325574-142AD39D-873A-4F02-9F55-2AC46635D582
Q112325576,Al-Khair al-Nour al-Mubrak,Q112325279,Education,2019-03-13,2019-04-11,Q112325576-6E2CBC86-FEF4-430D-B918-F80F15FA9719
Q112325577,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Q112325288,Human Resources,2015-06-07,2018-09-09,Q112325577-3F7E2F21-7AFA-4D25-B6CD-310F9EBCAA19
Q112325577,Al-Sadiq Al-Hadi Abdul-Rahman Al-Mahdi,Q111192544,Higher Education and Scientific Research,2018-09-09,2019-03-13,Q112325577-6DF6C5BB-9001-4CA9-801F-D87C078ED7A9
Q112325578,Al-Samawa’al Khalafalla Al-Quraish,Q112325276,Culture,2010-06-16,2012-07-09,Q112325578-0E54EA92-D601-45A0-B5F6-6BED569E2177
Q112325579,Al-Samual Khalfalla,Q112325276,"Culture, Tourism, and Antiquities",2019-03-13,2019-04-11,Q112325579-C6B877DC-CF69-4EDD-B273-D9E8852AEBB3
Q112325580,Al-Tayyib Hassan Badawi,Q112325276,Culture,2013-12-08,2015-06-07,Q112325580-3BE32589-4336-4D7B-AC11-1B3BBE85835A
Q112325580,Al-Tayyib Hassan Badawi,Q112325276,Culture,2015-06-07,2018-09-09,Q112325580-F5210FA9-0659-407A-A1AA-F242D47094C0
Q112325581,Al-Tijani Salih Fudayl,Q112325293,International Cooperation,2005-09-21,2010-06-16,Q112325581-B09DA4BB-3D62-4186-A629-ADB5EBE3321C
Q112325582,Al-Zahawi Ibrahim Malik,Q112325275,Communications and Information,2007-12-26,2010-06-16,Q112325582-C86E6666-DE9C-4CE6-952E-8B89EE29D6B8
Q112325583,Ali Mahmoud Abdul-Rasool,Q105926147,Finance and National Economy,2010-06-16,2013-12-08,Q112325583-CDEBFE3C-67B1-471D-AFB1-4E1C0B45A314
Q112325585,Ali Mohamed Osmane Yassine,Q112325297,Justice,1998-03-09,2005-09-21,Q112325585-F2586E61-EEAC-468F-BFE8-A986356A3191
Q112325587,Ali Tamim Fartak,Q112325302,National Education,2001-02-23,2002-08-19,Q112325587-7A514745-E712-40EA-B70F-692B9AB85C59
Q112325587,Ali Tamim Fartak,Q112325280,Electricity,2002-08-19,2005-09-21,Q112325587-7F1C0E0A-AAF8-4DC5-B0D4-55A4702E75C7
Q112325588,Alison Manani Magaya,Q112325288,Human Resources and Labour,2005-09-21,2007-12-26,Q112325588-382360BA-1B46-4D40-8CFE-46AE90E47602
Q112325588,Alison Manani Magaya,Q112325298,Labour,2000-01-24,2001-02-23,Q112325588-5424AE63-2C65-4933-976A-DD81CFB89937
Q112325588,Alison Manani Magaya,Q112325298,"Labour, Public Service, and Development of Human Resources",2007-12-26,2010-06-16,Q112325588-AFF3FBAA-0122-4F26-BCF9-2367DAA254E4
Q112325588,Alison Manani Magaya,Q112325321,Works and Administrative Reform,2001-02-23,2005-09-21,Q112325588-C37E6846-5A8B-492A-AFDB-0D8EC3B17C6E
Q112325589,Altayeb Ibrahim Mohammed Khair,Q112325310,Social Planning,1998-03-09,2000-01-24,Q112325589-472EA54A-BFA6-4F68-820D-FC8AEAE4C132
Q112325590,Amira Al-Fadil Mohamed Al-Fadil,Q112325320,Welfare and Social Security,2010-06-16,2013-12-08,Q112325590-F8B47CC9-D3A3-47D9-99A4-D7D04A4D6AB9
Q112325591,Asia Mohamed Abdalla,Q112325279,Education,2017-05-12,2018-09-09,Q112325591-5EE0613D-84EC-47F1-A908-383260A29AA0
Q112325592,Awad Ahmad al-Jaz,Q112325290,Industry,2010-06-16,2011-12-27,Q112325592-13962834-91BE-4389-B7F6-1D1CBF681FCD
Q112325592,Awad Ahmad al-Jaz,Q105926147,Finance,2008-02-13,2010-06-16,Q112325592-25C26CED-D8D1-4FB7-BA60-F6D6C00D7EC6
Q112325592,Awad Ahmad al-Jaz,Q112325281,Energy and Mining,1995-08-12,2008-02-13,Q112325592-64959651-A4C8-4FB9-93F8-69F1030DA531
Q112325592,Awad Ahmad al-Jaz,Q112325303,Petroleum,2011-12-27,2013-12-08,Q112325592-7E31C669-121B-4915-9A12-D410061D3A91
Q112325594,Awad al-Hassan al-Nur,Q112325297,Justice,2015-06-07,2017-05-12,Q112325594-F1371732-B2F6-4F6E-AFA6-72C295718512
Q112325595,Azhari Abd-al-Qadir Abdalla,Q112325303,"Petroleum, Gas, and Minerals",2018-05-14,2019-03-13,Q112325595-141891D4-9A81-49CE-955A-8DEBBCD56E56
Q112325596,Azhari Al-Tigani Awad al-Sid,Q112325308,Religious Affairs,2005-09-21,2011-12-27,Q112325596-DA8BD01C-01CA-4D9F-9BD1-E939764817DB
Q112325597,Badereldien Mahmoud,Q105926147,Finance,2013-12-08,2017-05-12,Q112325597-92A1708C-D4EF-4F6B-8621-81F5F84EBC0C
Q112325598,Badr Eddin Mohammed Ahmed Suleiman,Q112325290,Industry,1995-02-09,2000-01-24,Q112325598-6BA2613E-B2C9-4AB2-847D-9DCD0C8EEE14
Q112325599,Bahr Idris Abu Garda,Q112325298,"Labour, Administrative Reform, and Human Development",2018-09-09,2019-03-13,Q112325599-20842B8F-0418-463F-973B-BCE1F7D5B0AD
Q112325599,Bahr Idris Abu Garda,Q112325286,Health,2011-12-27,2018-09-09,Q112325599-42413257-C995-418B-92E4-58842DD51D95
Q112325599,Bahr Idris Abu Garda,Q112325292,Interior,2019-03-13,2019-04-11,Q112325599-526E3A60-3F48-40CB-879A-5F8129129E3F
Q112325600,Barakat Musa al-Hawati,Q112325284,Federal Government,2019-03-13,2019-04-11,Q112325600-460A55CC-DDAD-4114-A61E-264E39D0B2D2
Q112325618,Bushara Aru,Q112325291,"Information, Communications and Information Technology",2018-09-09,2019-04-11,Q112325618-E1CEB3BD-99F3-43A5-8552-669698DE7F8F
Q112325618,Bushara Aru,Q112325270,Animal Resources,2017-05-12,2018-09-09,Q112325618-E2D4BA2B-80EA-49AF-9458-FB8562231B6B
Q112325619,Chamboul Adlane,Q112325273,Aviation,2000-07-10,2001-02-23,Q112325619-7BF9BF48-0F82-4F57-8892-1CE9F43607BC
Q112325620,Chol Ram Pang,Q112325317,Transport,2010-06-16,2011-12-27,Q112325620-05496B1D-C235-43C1-8C20-1B1040BB71E4
Q112325621,Dak Dop Pishop,Q112325298,Labour,2010-06-16,2011-12-27,Q112325621-0CA3C63F-53EF-437A-8FFF-02F8118880C2
Q112325622,Eissa Bushra Mohamed,Q111192637,Science and Technology,2010-06-16,2012-07-09,Q112325622-059DE0EB-0058-464B-B4DC-B800089256C8
Q112325622,Eissa Bushra Mohamed,Q111192637,Science and Communications,2012-07-09,2013-12-08,Q112325622-400A5517-283D-4EA1-8269-EB07703DC15E
Q112325623,El Zubair Bashir Taha,Q111192544,Higher Education and Scientific Research,2000-01-24,2001-02-23,Q112325623-A6706D7D-1304-4BB6-ABBD-A7DE7AD3282D
Q112325623,El Zubair Bashir Taha,Q112325292,Interior,2005-09-21,2008-02-13,Q112325623-CE381514-A049-4CCC-958E-8B0ABB59D669
Q112325623,El Zubair Bashir Taha,Q112325266,Agriculture and Forests,2008-02-13,2010-06-16,Q112325623-CFB0ACBE-1FCF-45AE-A374-7DC5DCB550C2
Q112325623,El Zubair Bashir Taha,Q111192637,Scientific Research and Technology,2001-02-23,2005-09-21,Q112325623-D7B2CB61-B918-4CA7-9ED9-652E0583EBCC
Q112325624,Elias Neyama Lel,Q112325283,External Trade,2010-06-16,2011-12-27,Q112325624-9144B26C-0A42-4E34-8192-157EBDC75FEC
Q112325625,Esmat Abdel-Rahman,Q112325292,Interior,2014-06-25,2017-05-12,Q112325625-53613B18-037B-403F-8496-DA9765E294C4
Q112325627,Fadul Abdallah,Q112325306,Presidential Affairs,2017-05-12,2019-04-11,Q112325627-40AF1896-0082-49D9-A2B9-6722C77E5566
Q112325628,Faisal Hassan Ibrahim,Q112325270,Animal Resources and Fishing,2010-06-16,2015-06-07,Q112325628-7EB72750-2DF1-482A-8930-7991824974E1
Q112325628,Faisal Hassan Ibrahim,Q112325284,Federal Government,2015-06-07,2018-09-09,Q112325628-C186355D-A28F-433F-BFF8-F35E04D2CDF3
Q112325629,Farah Mustafa Abdallah,Q112325284,Federal Government,2013-12-08,2015-06-07,Q112325629-BFCF703C-675D-43E2-8A1E-5E90C1E3A2F9
Q112325629,Farah Mustafa Abdallah,Q112325279,Education,2010-06-16,2011-12-27,Q112325629-C98389AC-1D91-4BD4-BF3C-90AA855459AD
Q112325629,Farah Mustafa Abdallah,Q112325298,Labour,2011-12-27,2012-07-09,Q112325629-E81635F2-9A22-4272-96DF-C1D54638D1AC
Q112325630,Fatih Taj-al-Sir Abdalla,Q112325322,Youth and Sports,2011-12-27,2013-01-15,Q112325630-2ABE4A16-2A2A-4985-BBA3-CBAD48B40B7C
